Title,Price_GBP,Rating_Num,Stock_Quantity,Rating_Percentage,Price_Band,Stock_Status
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5,14,100.0,Premium,Healthy Stock
"Eat Fat, Get Thin",54.07,2,18,40.0,Premium,Healthy Stock
Don't Get Caught,55.35,1,2,20.0,Premium,Low Stock
Doctor Sleep (The Shining #2),40.12,2,22,40.0,Standard,Healthy Stock
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,3,100.0,Standard,Low Stock
Dear Mr. Knightley,11.21,5,16,100.0,Budget,Healthy Stock
Daily Fantasy Sports,36.58,1,9,20.0,Standard,Healthy Stock
Crazy Love: Overwhelmed by a Relentless God,47.72,2,4,40.0,Premium,Low Stock
Cometh the Hour (The Clifton Chronicles #6),25.01,3,1,60.0,Budget,Low Stock
Code Name Verity (Code Name Verity #1),22.13,4,4,80.0,Budget,Low Stock
Clockwork Angel (The Infernal Devices #1),44.14,1,1,20.0,Premium,Low Stock
City of Glass (The Mortal Instruments #3),56.02,4,14,80.0,Premium,Healthy Stock
City of Fallen Angels (The Mortal Instruments #4),11.23,4,21,80.0,Budget,Healthy Stock
City of Bones (The Mortal Instruments #1),43.28,1,16,20.0,Standard,Healthy Stock
City of Ashes (The Mortal Instruments #2),47.27,1,20,20.0,Premium,Healthy Stock
Cell,20.29,4,24,80.0,Budget,Healthy Stock
Catching Jordan (Hundred Oaks),50.83,3,8,60.0,Premium,Healthy Stock
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,3,7,60.0,Standard,Healthy Stock
Carrie,46.23,2,3,40.0,Premium,Low Stock
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4,17,80.0,Standard,Healthy Stock
Brain on Fire: My Month of Madness,49.32,5,1,100.0,Premium,Low Stock
Batman: Europa,32.01,2,16,40.0,Standard,Healthy Stock
Barefoot Contessa Back to Basics,28.01,1,12,20.0,Standard,Healthy Stock
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5,19,100.0,Premium,Healthy Stock
Balloon Animals,17.03,3,22,60.0,Budget,Healthy Stock
Art Ops Vol. 1,48.8,3,23,60.0,Premium,Healthy Stock
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,4,22,80.0,Premium,Healthy Stock
Angels Walking (Angels Walking #1),34.2,2,14,40.0,Standard,Healthy Stock
Angels & Demons (Robert Langdon #1),51.48,3,6,60.0,Premium,Healthy Stock
All the Light We Cannot See,29.87,5,6,100.0,Standard,Healthy Stock
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,13,40.0,Budget,Healthy Stock
Abstract City,56.37,5,19,100.0,Premium,Healthy Stock
A Time of Torment (Charlie Parker #14),48.35,5,22,100.0,Premium,Healthy Stock
A Study in Scarlet (Sherlock Holmes #1),16.73,2,8,40.0,Budget,Healthy Stock
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,2,2,40.0,Premium,Low Stock
A People's History of the United States,40.79,2,21,40.0,Standard,Healthy Stock
A Man Called Ove,39.72,1,1,20.0,Standard,Low Stock
A Distant Mirror: The Calamitous 14th Century,14.58,3,15,60.0,Budget,Healthy Stock
A Brush of Wings (Angels Walking #3),55.51,1,1,20.0,Premium,Low Stock
1491: New Revelations of the Americas Before Columbus,21.8,3,5,60.0,Budget,Healthy Stock
"The Three Searches, Meaning, and the Story",13.33,3,16,60.0,Budget,Healthy Stock
Searching for Meaning in Gailana,38.73,1,19,20.0,Standard,Healthy Stock
Rook,37.86,4,4,80.0,Standard,Low Stock
My Kitchen Year: 136 Recipes That Saved My Life,11.53,2,3,40.0,Budget,Low Stock
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,1,17,20.0,Standard,Healthy Stock
Will You Won't You Want Me?,13.86,3,17,60.0,Budget,Healthy Stock
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,1,12,20.0,Standard,Healthy Stock
The Silent Sister (Riley MacPherson #1),46.29,5,14,100.0,Premium,Healthy Stock
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,1,21,20.0,Budget,Healthy Stock
The Lonely City: Adventures in the Art of Being Alone,33.26,2,6,40.0,Standard,Healthy Stock
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,4,3,80.0,Premium,Low Stock
The Golden Condom: And Other Essays on Love Lost and Found,39.43,1,9,20.0,Standard,Healthy Stock
The Epidemic (The Program 0.6),14.44,5,5,100.0,Budget,Healthy Stock
The Dinner Party,56.54,2,24,40.0,Premium,Healthy Stock
The Diary of a Young Girl,59.9,3,17,60.0,Premium,Healthy Stock
The Children,11.88,3,14,60.0,Budget,Healthy Stock
Stars Above (The Lunar Chronicles #4.5),48.05,2,21,40.0,Premium,Healthy Stock
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,3,3,60.0,Budget,Low Stock
Raspberry Pi Electronics Projects for the Evil Genius,49.67,4,1,80.0,Premium,Low Stock
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,1,20,20.0,Standard,Healthy Stock
Psycho: Sanitarium (Psycho #1.5),36.97,5,21,100.0,Standard,Healthy Stock
Poisonous (Max Revere Novels #3),26.8,3,23,60.0,Standard,Healthy Stock
One with You (Crossfire #5),15.71,4,1,80.0,Budget,Low Stock
No Love Allowed (Dodge Cove #1),54.65,4,3,80.0,Premium,Low Stock
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,18,80.0,Premium,Healthy Stock
Most Wanted,35.28,3,25,60.0,Standard,Healthy Stock
"Love, Lies and Spies",20.55,2,10,40.0,Budget,Healthy Stock
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,5,22,100.0,Premium,Healthy Stock
Hide Away (Eve Duncan #20),11.84,1,3,20.0,Budget,Low Stock
Furiously Happy: A Funny Book About Horrible Things,41.46,4,8,80.0,Standard,Healthy Stock
Everyday Italian: 125 Simple and Delicious Recipes,20.1,5,14,100.0,Budget,Healthy Stock
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,1,24,20.0,Premium,Healthy Stock
Eleanor & Park,56.51,5,18,100.0,Premium,Healthy Stock
Dirty (Dive Bar #1),40.83,4,15,80.0,Standard,Healthy Stock
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,1,22,20.0,Premium,Healthy Stock
Boar Island (Anna Pigeon #19),59.48,3,23,60.0,Premium,Healthy Stock
A Paris Apartment,39.01,4,2,80.0,Standard,Low Stock
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,1,10,20.0,Standard,Healthy Stock
Troublemaker: Surviving Hollywood and Scientology,48.39,2,2,40.0,Premium,Low Stock
The Widow,27.26,2,17,40.0,Standard,Healthy Stock
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4,8,80.0,Budget,Healthy Stock
The Improbability of Love,59.45,1,1,20.0,Premium,Low Stock
The Art of Startup Fundraising,21.0,3,9,60.0,Budget,Healthy Stock
Take Me Home Tonight (Rock Star Romance #3),53.98,3,11,60.0,Premium,Healthy Stock
Sleeping Giants (Themis Files #1),48.74,1,22,20.0,Premium,Healthy Stock
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,2,16,40.0,Budget,Healthy Stock
Playing with Fire,13.71,3,7,60.0,Budget,Healthy Stock
Off the Hook (Fishing for Trouble #1),47.67,3,10,60.0,Premium,Healthy Stock
Mothering Sunday,13.34,2,23,40.0,Budget,Healthy Stock
"Mother, Can You Not?",16.89,5,3,100.0,Budget,Low Stock
M Train,27.18,1,18,20.0,Standard,Healthy Stock
Lilac Girls,17.28,2,25,40.0,Budget,Healthy Stock
Lies and Other Acts of Love,45.14,1,24,20.0,Premium,Healthy Stock
Lab Girl,40.85,1,13,20.0,Standard,Healthy Stock
Keep Me Posted,20.46,4,7,80.0,Budget,Healthy Stock
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,3,25,60.0,Premium,Healthy Stock
Grey (Fifty Shades #4),48.49,4,4,80.0,Premium,Low Stock
"Exit, Pursued by a Bear",51.34,4,13,80.0,Premium,Healthy Stock
Daredevils,16.34,3,20,60.0,Budget,Healthy Stock
Cravings: Recipes for What You Want to Eat,20.5,3,1,60.0,Budget,Low Stock
Born for This: How to Find the Work You Were Meant to Do,21.59,5,8,100.0,Budget,Healthy Stock
Arena,21.36,4,14,80.0,Budget,Healthy Stock
Adultery,20.88,5,16,100.0,Budget,Healthy Stock
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,3,14,60.0,Budget,Healthy Stock
A Gentleman's Position (Society of Gentlemen #3),14.75,5,12,100.0,Budget,Healthy Stock
11/22/63,48.48,3,19,60.0,Premium,Healthy Stock
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,2,23,40.0,Budget,Healthy Stock
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,5,15,100.0,Premium,Healthy Stock
Without Shame,48.27,5,2,100.0,Premium,Low Stock
Watchmen,58.05,4,2,80.0,Premium,Low Stock
Unlimited Intuition Now,58.87,4,23,80.0,Premium,Healthy Stock
Underlying Notes,11.82,2,22,40.0,Budget,Healthy Stock
The Shack,28.03,1,19,20.0,Standard,Healthy Stock
The New Brand You: Your New Image Makes the Sale for You,44.05,5,25,100.0,Premium,Healthy Stock
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,4,22,80.0,Budget,Healthy Stock
The Flowers Lied,16.68,2,22,40.0,Budget,Healthy Stock
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,1,17,20.0,Premium,Healthy Stock
The Book of Mormon,24.57,3,20,60.0,Budget,Healthy Stock
The Art and Science of Low Carbohydrate Living,52.98,5,10,100.0,Premium,Healthy Stock
The Alien Club,54.4,1,6,20.0,Premium,Healthy Stock
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,5,15,100.0,Premium,Healthy Stock
Nap-a-Roo,25.08,1,22,20.0,Budget,Healthy Stock
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,4,11,80.0,Budget,Healthy Stock
Modern Day Fables,47.44,2,5,40.0,Premium,Healthy Stock
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,1,1,20.0,Budget,Low Stock
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4,8,80.0,Standard,Healthy Stock
Dress Your Family in Corduroy and Denim,43.68,3,21,60.0,Premium,Healthy Stock
Don't Forget Steven,33.23,1,12,20.0,Standard,Healthy Stock
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,2,12,40.0,Standard,Healthy Stock
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,4,5,80.0,Premium,Healthy Stock
A Shard of Ice (The Black Symphony Saga #1),56.63,3,7,60.0,Premium,Healthy Stock
A Hero's Curse (The Unseen Chronicles #1),50.49,3,4,60.0,Premium,Low Stock
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,2,6,40.0,Standard,Healthy Stock
"Zero to One: Notes on Startups, or How to Build the Future",34.06,3,13,60.0,Standard,Healthy Stock
Why Not Me?,17.76,1,20,20.0,Budget,Healthy Stock
When Breath Becomes Air,39.36,2,15,40.0,Standard,Healthy Stock
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,3,40.0,Standard,Low Stock
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,5,23,100.0,Premium,Healthy Stock
The New Drawing on the Right Side of the Brain,43.02,3,8,60.0,Standard,Healthy Stock
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,4,20,80.0,Standard,Healthy Stock
The Martian (The Martian #1),41.39,2,16,40.0,Standard,Healthy Stock
The High Mountains of Portugal,51.15,1,13,20.0,Premium,Healthy Stock
The Grownup,35.88,1,18,20.0,Standard,Healthy Stock
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,1,10,20.0,Standard,Healthy Stock
South of Sunshine,28.93,1,19,20.0,Standard,Healthy Stock
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,5,17,100.0,Standard,Healthy Stock
Silence in the Dark (Logan Point #4),58.33,3,24,60.0,Premium,Healthy Stock
Shadows of the Past (Logan Point #1),39.67,5,19,100.0,Standard,Healthy Stock
Roller Girl,14.1,5,23,100.0,Budget,Healthy Stock
Rising Strong,21.82,3,5,60.0,Budget,Healthy Stock
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1,21,20.0,Premium,Healthy Stock
Please Kill Me: The Uncensored Oral History of Punk,31.19,4,23,80.0,Standard,Healthy Stock
Out of Print: City Lights Spotlight No. 14,53.64,5,9,100.0,Premium,Healthy Stock
My Life Next Door (My Life Next Door ),36.39,5,12,100.0,Standard,Healthy Stock
Miller's Valley,58.54,2,21,40.0,Premium,Healthy Stock
Man's Search for Meaning,29.48,3,1,60.0,Standard,Low Stock
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,2,1,40.0,Budget,Low Stock
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,3,15,60.0,Budget,Healthy Stock
Les Fleurs du Mal,29.04,5,2,100.0,Standard,Low Stock
Left Behind (Left Behind #1),40.72,2,22,40.0,Standard,Healthy Stock
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,5,16,100.0,Premium,Healthy Stock
Kierkegaard: A Christian Missionary to Christians,47.13,1,25,20.0,Premium,Healthy Stock
John Vassos: Industrial Design for Modern Life,20.22,4,8,80.0,Budget,Healthy Stock
I'll Give You the Sun,56.48,1,13,20.0,Premium,Healthy Stock
I Will Find You,44.21,1,21,20.0,Premium,Healthy Stock
Hystopia: A Novel,21.96,4,1,80.0,Budget,Low Stock
Howl and Other Poems,40.45,2,16,40.0,Standard,Healthy Stock
History of Beauty,10.29,4,7,80.0,Budget,Healthy Stock
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,2,5,40.0,Premium,Healthy Stock
Future Shock (Future Shock #1),55.65,5,22,100.0,Premium,Healthy Stock
Ender's Game (The Ender Quintet #1),43.64,1,23,20.0,Premium,Healthy Stock
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,1,3,20.0,Standard,Low Stock
Death by Leisure: A Cautionary Tale,37.51,4,12,80.0,Standard,Healthy Stock
Brilliant Beacons: A History of the American Lighthouse,11.45,3,16,60.0,Budget,Healthy Stock
Brazen: The Courage to Find the You That's Been Hiding,19.22,2,19,40.0,Budget,Healthy Stock
Between the World and Me,56.91,4,5,80.0,Premium,Healthy Stock
Being Mortal: Medicine and What Matters in the End,55.06,4,22,80.0,Premium,Healthy Stock
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,3,25,60.0,Budget,Healthy Stock
32 Yolks,53.63,2,14,40.0,Premium,Healthy Stock
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,5,5,100.0,Premium,Healthy Stock
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,3,15,60.0,Budget,Healthy Stock
Wildlife of New York: A Five-Borough Coloring Book,22.14,2,17,40.0,Budget,Healthy Stock
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,14,100.0,Budget,Healthy Stock
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,46.33,2,20,40.0,Premium,Healthy Stock
Under the Tuscan Sun,37.33,3,5,60.0,Standard,Healthy Stock
Toddlers Are A**holes: It's Not Your Fault,25.55,1,12,20.0,Budget,Healthy Stock
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,34.72,1,16,20.0,Standard,Healthy Stock
The Whale,35.96,4,16,80.0,Standard,Healthy Stock
The Story of Art,41.14,4,21,80.0,Standard,Healthy Stock
The Origin of Species,10.01,4,7,80.0,Budget,Healthy Stock
The Great Gatsby,36.05,4,4,80.0,Standard,Low Stock
The Good Girl,49.03,3,1,60.0,Premium,Low Stock
The Glass Castle,16.24,1,5,20.0,Budget,Healthy Stock
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,39.55,1,23,20.0,Standard,Healthy Stock
The Drowning Girls,35.67,3,10,60.0,Standard,Healthy Stock
The Constant Princess (The Tudor Court #1),16.62,3,22,60.0,Budget,Healthy Stock
The Bourne Identity (Jason Bourne #1),42.78,4,5,80.0,Standard,Healthy Stock
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,4,100.0,Premium,Low Stock
The Art Book,32.34,2,2,40.0,Standard,Low Stock
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,33.17,4,20,80.0,Standard,Healthy Stock
Team of Rivals: The Political Genius of Abraham Lincoln,20.12,5,10,100.0,Budget,Healthy Stock
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,20.9,2,19,40.0,Budget,Healthy Stock
"Sit, Stay, Love",20.9,3,1,60.0,Budget,Low Stock
Sister Dear,40.2,4,24,80.0,Standard,Healthy Stock
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,3,5,60.0,Premium,Healthy Stock
"Rich Dad, Poor Dad",51.74,1,13,20.0,Premium,Healthy Stock
Raymie Nightingale,34.41,2,4,40.0,Standard,Low Stock
Playing from the Heart,32.38,1,16,20.0,Standard,Healthy Stock
Nightstruck: A Novel,50.35,4,24,80.0,Premium,Healthy Stock
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,5,16,100.0,Budget,Healthy Stock
Meternity,43.58,3,23,60.0,Standard,Healthy Stock
Memoirs of a Geisha,49.67,3,2,60.0,Premium,Low Stock
Like Never Before (Walker Family #2),28.77,2,17,40.0,Standard,Healthy Stock
Life of Pi,13.22,4,20,80.0,Budget,Healthy Stock
Leave This Song Behind: Teen Poetry at Its Best,51.17,5,24,100.0,Premium,Healthy Stock
King's Folly (The Kinsman Chronicles #1),39.61,5,12,100.0,Standard,Healthy Stock
John Adams,57.43,4,18,80.0,Premium,Healthy Stock
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),46.01,4,3,80.0,Premium,Low Stock
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,28.25,2,1,40.0,Standard,Low Stock
Good in Bed (Cannie Shapiro #1),37.05,5,1,100.0,Standard,Low Stock
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1,19,20.0,Budget,Healthy Stock
For the Love: Fighting for Grace in a World of Impossible Standards,45.13,3,11,60.0,Premium,Healthy Stock
Finding God in the Ruins: How God Redeems Pain,46.64,2,5,40.0,Premium,Healthy Stock
Every Heart a Doorway (Every Heart A Doorway #1),12.16,5,12,100.0,Budget,Healthy Stock
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,3,80.0,Budget,Low Stock
Counted With the Stars (Out from Egypt #1),17.97,5,1,100.0,Budget,Low Stock
"Chronicles, Vol. 1",52.6,2,1,40.0,Premium,Low Stock
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,25.77,1,8,20.0,Budget,Healthy Stock
Benjamin Franklin: An American Life,48.19,3,10,60.0,Premium,Healthy Stock
"At The Existentialist Caf̩: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,5,11,100.0,Standard,Healthy Stock
A Summer In Europe,44.34,2,12,40.0,Premium,Healthy Stock
A Short History of Nearly Everything,52.4,5,13,100.0,Premium,Healthy Stock
A Gathering of Shadows (Shades of Magic #2),44.81,4,12,80.0,Premium,Healthy Stock
The Sound Of Love,57.84,5,14,100.0,Premium,Healthy Stock
The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67,2,2,40.0,Standard,Low Stock
The Perks of Being a Wallflower,55.02,3,19,60.0,Premium,Healthy Stock
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,18,80.0,Budget,Healthy Stock
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,4,3,80.0,Premium,Low Stock
The Makings of a Fatherless Child,31.58,2,23,40.0,Standard,Healthy Stock
The Joy of Cooking,43.27,4,17,80.0,Standard,Healthy Stock
The Invention of Wings,37.34,1,8,20.0,Standard,Healthy Stock
The Hobbit (Middle-Earth Universe),17.8,5,10,100.0,Budget,Healthy Stock
The Great Railway Bazaar,30.54,1,2,20.0,Standard,Low Stock
The Golden Compass (His Dark Materials #1),18.77,1,19,20.0,Budget,Healthy Stock
The God Delusion,46.85,3,9,60.0,Premium,Healthy Stock
The Girl You Left Behind (The Girl You Left Behind #1),15.79,1,7,20.0,Budget,Healthy Stock
The Fellowship of the Ring (The Lord of the Rings #1),10.27,2,4,40.0,Budget,Low Stock
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,5,21,100.0,Budget,Healthy Stock
The Barefoot Contessa Cookbook,59.92,5,18,100.0,Premium,Healthy Stock
Tell the Wolves I'm Home,50.96,2,13,40.0,Premium,Healthy Stock
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,30.6,3,11,60.0,Standard,Healthy Stock
Pride and Prejudice,19.27,4,24,80.0,Budget,Healthy Stock
Musicophilia: Tales of Music and the Brain,46.58,1,4,20.0,Premium,Low Stock
Mere Christianity,48.51,3,25,60.0,Premium,Healthy Stock
Me Before You (Me Before You #1),19.02,1,21,20.0,Budget,Healthy Stock
In the Woods (Dublin Murder Squad #1),38.38,2,25,40.0,Standard,Healthy Stock
In Cold Blood,49.98,4,4,80.0,Premium,Low Stock
How to Stop Worrying and Start Living,46.49,5,10,100.0,Premium,Healthy Stock
Give It Back,18.32,2,5,40.0,Budget,Healthy Stock
"Girl, Interrupted",42.14,3,9,60.0,Standard,Healthy Stock
Fun Home: A Family Tragicomic,56.59,4,24,80.0,Premium,Healthy Stock
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4,3,80.0,Budget,Low Stock
Deception Point,40.32,4,17,80.0,Standard,Healthy Stock
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3,3,60.0,Standard,Low Stock
Catherine the Great: Portrait of a Woman,58.55,4,16,80.0,Premium,Healthy Stock
Better Homes and Gardens New Cook Book,39.61,3,4,60.0,Standard,Low Stock
An Unquiet Mind: A Memoir of Moods and Madness,21.3,3,18,60.0,Budget,Healthy Stock
A Year in Provence (Provence #1),56.88,4,17,80.0,Premium,Healthy Stock
World Without End (The Pillars of the Earth #2),32.97,4,7,80.0,Standard,Healthy Stock
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",47.31,4,24,80.0,Premium,Healthy Stock
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,2,23,40.0,Premium,Healthy Stock
Where She Went (If I Stay #2),41.73,4,5,80.0,Standard,Healthy Stock
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,53.68,4,12,80.0,Premium,Healthy Stock
Two Summers,14.64,1,17,20.0,Budget,Healthy Stock
This Is Your Brain on Music: The Science of a Human Obsession,38.4,1,23,20.0,Standard,Healthy Stock
The Secret Garden,15.08,4,13,80.0,Budget,Healthy Stock
The Raven King (The Raven Cycle #4),30.57,2,23,40.0,Standard,Healthy Stock
The Raven Boys (The Raven Cycle #1),57.74,4,25,80.0,Premium,Healthy Stock
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,5,3,100.0,Budget,Low Stock
The Metamorphosis,28.58,1,9,20.0,Standard,Healthy Stock
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91,5,17,100.0,Standard,Healthy Stock
The Little Paris Bookshop,24.73,3,17,60.0,Budget,Healthy Stock
The Hiding Place,55.91,4,20,80.0,Premium,Healthy Stock
The Grand Design,13.76,3,16,60.0,Budget,Healthy Stock
The Firm,45.56,3,25,60.0,Premium,Healthy Stock
The Fault in Our Stars,47.22,1,22,20.0,Premium,Healthy Stock
The False Prince (The Ascendance Trilogy #1),56.0,5,13,100.0,Premium,Healthy Stock
The Expatriates,44.58,2,19,40.0,Premium,Healthy Stock
The Dream Thieves (The Raven Cycle #2),34.5,1,17,20.0,Standard,Healthy Stock
The Darkest Corners,11.33,5,4,100.0,Budget,Low Stock
The Crossover,38.77,4,12,80.0,Standard,Healthy Stock
The 5th Wave (The 5th Wave #1),11.83,2,9,40.0,Budget,Healthy Stock
Tell the Wind and Fire,45.51,3,19,60.0,Premium,Healthy Stock
Tell Me Three Things,41.81,1,12,20.0,Standard,Healthy Stock
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,4,9,80.0,Budget,Healthy Stock
Siddhartha,34.22,5,7,100.0,Standard,Healthy Stock
Shiver (The Wolves of Mercy Falls #1),16.23,5,14,100.0,Budget,Healthy Stock
Remember Me?,11.48,3,20,60.0,Budget,Healthy Stock
Red Dragon (Hannibal Lecter #1),23.37,3,19,60.0,Budget,Healthy Stock
Peak: Secrets from the New Science of Expertise,16.28,2,15,40.0,Budget,Healthy Stock
My Mother Was Nuts,31.63,4,16,80.0,Standard,Healthy Stock
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91,5,21,100.0,Budget,Healthy Stock
Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,1,5,20.0,Budget,Healthy Stock
Lola and the Boy Next Door (Anna and the French Kiss #2),23.63,4,3,80.0,Budget,Low Stock
Logan Kade (Fallen Crest High #5.5),13.12,2,12,40.0,Budget,Healthy Stock
Last One Home (New Beginnings #1),59.98,3,25,60.0,Premium,Healthy Stock
Killing Floor (Jack Reacher #1),31.49,4,20,80.0,Standard,Healthy Stock
Kill the Boy Band,15.52,5,21,100.0,Budget,Healthy Stock
Isla and the Happily Ever After (Anna and the French Kiss #3),48.13,5,4,100.0,Premium,Low Stock
If I Stay (If I Stay #1),38.13,5,21,100.0,Standard,Healthy Stock
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),36.55,2,23,40.0,Standard,Healthy Stock
Harry Potter and the Deathly Hallows (Harry Potter #7),23.32,1,16,20.0,Budget,Healthy Stock
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1,25,20.0,Budget,Healthy Stock
Foundation (Foundation (Publication Order) #1),32.42,1,7,20.0,Standard,Healthy Stock
Fool Me Once,16.96,1,13,20.0,Budget,Healthy Stock
Find Her (Detective D.D. Warren #8),22.37,1,21,20.0,Budget,Healthy Stock
Evicted: Poverty and Profit in the American City,42.27,1,10,20.0,Standard,Healthy Stock
Drama,38.7,2,7,40.0,Standard,Healthy Stock
Dracula the Un-Dead,35.63,5,14,100.0,Standard,Healthy Stock
Digital Fortress,58.0,5,5,100.0,Premium,Healthy Stock
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,1,3,20.0,Premium,Low Stock
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,3,23,60.0,Standard,Healthy Stock
Critique of Pure Reason,20.75,1,11,20.0,Budget,Healthy Stock
Booked,17.49,5,11,100.0,Budget,Healthy Stock
"Blue Lily, Lily Blue (The Raven Cycle #3)",34.13,5,18,100.0,Standard,Healthy Stock
Approval Junkie: Adventures in Caring Too Much,58.81,5,15,100.0,Premium,Healthy Stock
An Abundance of Katherines,10.0,5,12,100.0,Budget,Healthy Stock
America's War for the Greater Middle East: A Military History,51.22,2,9,40.0,Premium,Healthy Stock
